method,sample_size,independent_pair_count,joint_delta,proof_status,observable_radius,nonvacuous,theorem_source,stopping_reason,fourth_moment_factor,scale_relative_variance_factor,scale_relative_radius,minimum_scale_block_size,new_matvec_queries
independent_pair_elementary,8,4,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 572.7419430540541.",6561.0,1640.1666666666667,572.7419430540541,,0
independent_pair_elementary,8,4,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 256.13798364683572.",6561.0,1640.1666666666667,256.1379836468357,,0
independent_pair_elementary,8,4,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 181.11690515612653.",6561.0,1640.1666666666667,181.11690515612653,,0
independent_pair_elementary,16,8,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 404.97795354456377.",6561.0,820.0357142857143,404.9779535445638,,0
independent_pair_elementary,16,8,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 181.11164670287931.",6561.0,820.0357142857143,181.1116467028793,,0
independent_pair_elementary,16,8,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 128.06527353546818.",6561.0,820.0357142857143,128.06527353546818,,0
independent_pair_elementary,32,16,0.01,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 286.35933137697236.",6561.0,410.0083333333333,286.35933137697236,,0
independent_pair_elementary,32,16,0.05,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 128.06378619005972.",6561.0,410.0083333333333,128.06378619005972,,0
independent_pair_elementary,32,16,0.1,PROVED BUT BUDGET-VACUOUS,inf,False,Exact sample-variance variance identity plus Chebyshev,"The observable variance upper bound requires a relative scale radius below one, but the proved radius is 90.554771639415364.",6561.0,410.0083333333333,90.55477163941536,,0
complete_u_statistic,4,2,0.01,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,4,2,0.05,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,4,2,0.1,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,8,4,0.01,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,8,4,0.05,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,8,4,0.1,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,16,8,0.01,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,16,8,0.05,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,16,8,0.1,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,32,16,0.01,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,32,16,0.05,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
complete_u_statistic,32,16,0.1,INCOMPLETE,inf,False,Gine--Latala--Zinn canonical U-statistic route (scope audit only),"Canonical concentration applies only to the degenerate Hoeffding term. The nondegenerate linear projection still lacks an observable small-sample scale bound, so the preregistered stopping rule forbids continuing with K2.",6561.0,,,,0
